"","pac_name_affiliate","country","parent","total","dems","repubs","year"
"624","7-Eleven","Japan","Seven & I Holdings",9500,2000,7500,2008
"625","ABB Group","Switzerland","Asea Brown Boveri",18000,8000,10000,2008
"626","Accenture (Accenture)","UK","Accenture plc",347750,189750,158000,2008
"627","Accenture (Accenture)","UK","Accenture plc",0,0,0,2008
"628","ACE INA","Switzerland","ACE Ltd",171500,82500,89000,2008
"629","Acuson Corp (Siemens AG)","Germany","Siemens AG",0,0,0,2008
"630","AEGON USA","Netherlands","Aegon NV",210497,107997,102500,2008
"631","Agrium US","Canada","Agrium Inc",1500,0,1500,2008
"632","Air Liquide America","France","L'Air Liquide SA",11000,8000,3000,2008
"633","Alcatel-Lucent Holding (Alcatel-Lucent)","France","Alcatel-Lucent",58500,28000,30500,2008
"634","Alcatel-Lucent Holding (Alcatel-Lucent)","France","Alcatel-Lucent",8500,4000,4500,2008
"635","Alcon Laboratories (Nestle SA)","Switzerland","Nestle",28496,1000,27496,2008
"636","Allianz of America (Allianz)","Germany","Allianz AG Holding",80050,28600,51450,2008
"637","American Medical Response (Onex Corp)","Canada","Onex Corp",21050,18250,2800,2008
"638","Anheuser-Busch","Belgium","Anheuser-Busch InBev",1505897,853223,652674,2008
"639","APL Ltd","Singapore","Neptune Orient Lines Ltd",42500,28500,14000,2008
"640","Arcadis US","Netherlands","Arcadis NV",72250,42250,30000,2008
"641","ArcelorMittal USA","Luxembourg","ArcelorMittal",54500,29000,25500,2008
"642","Arch Capital Group (US)","UK","Arch Capital Group",13200,10900,2300,2008
"643","AREVA Inc","France","Areva Group",95000,45500,49500,2008
"644","Arkema Inc","France","Arkema",26500,10500,16000,2008
"645","Armor Holdings (BAE Systems)","UK","BAE Systems",25426,6600,18826,2008
"646","Astellas US","Japan","Astellas Pharma",0,0,0,2008
"647","AstraZeneca Pharmaceuticals (AstraZeneca PLC)","UK","AstraZeneca PLC",544500,260500,284000,2008
"648","Austin, Nichols & Co","France","Pernod Ricard SA",14500,10000,4500,2008
"649","Aviva USA","UK","Aviva PLC",500,0,500,2008
"650","AXA Equitable Life Insurance (AXA)","France","AXA",216000,137000,79000,2008
"651","AXIS Specialty US Services (AXIS Capital)","UK","AXIS Captial",0,0,0,2008
"652","Babcock & Wilcox (McDermott International)","Panama","McDermott International",1000,1000,0,2008
"653","Babcock & Wilcox (McDermott International)","Panama","McDermott International",244000,129000,115000,2008
"654","Bacardi USA","UK","Bacardi Ltd",18000,7500,10500,2008
"655","BAE Systems (BAE Systems)","UK","BAE Systems",712250,313500,398750,2008
"656","Ballard Power Systems","Canada","Ballard Power Systems",1700,1700,0,2008
"657","BancWest Corp (BNP Paribas)","France","BNP Paribas",3300,3300,0,2008
"658","Barclays Group US","UK","Barclays plc",1e+05,53000,47000,2008
"659","Barrick Goldstrike Mines","Canada","Barrick Gold Corp",63800,29500,34300,2008
"660","BASF Corp","Germany","BASF SE",307000,109000,198000,2008
"661","Bayer Corp","Germany","Bayer AG",271500,118000,153500,2008
"662","BBVA Compass","Spain","Banco Bilbao Vizcaya Argentaria",125500,9500,116000,2008
"663","BMO Harris Bank","Canada","Bank of Montreal",0,0,0,2008
"664","Boehringer Ingelheim Corp","Germany","CH Boehringer Sohn",87800,33000,54800,2008
"665","Bombardier Transportation USA (Bombardier Inc)","Canada","Bombardier Inc",4500,3000,1500,2008
"666","BP North America","UK","BP PLC",198500,81500,117000,2008
"667","Bridgestone Americas","Japan","Bridgestone Corp",113000,56000,57000,2008
"668","Burson-Marsteller (WPP Group)","UK","WPP Group",58500,35500,21500,2008
"669","Buzzi Unicem USA","Italy","Buzzi Unicem SpA",23250,4250,19000,2008
"670","CalPortland Co","Japan","Taiheiyo Cement Co",204500,53000,151500,2008
"671","Case New Holland","Italy","Fiat SPA",60000,15000,45000,2008
"672","CEMEX Inc","Mexico","CEMEX SAB de CV",178100,68600,109500,2008
"673","CGI Technologies & Solutions","Canada","CGI Group",21000,14000,7000,2008
"674","Ciba Inc","Switzerland","Ciba Specialty Chemicals Holding",14900,5000,9900,2008
"675","Citizens Financial Group","UK","Royal Bank of Scotland Group",155900,129650,26250,2008
"676","Cobham Management Services","UK","Cobham PLC",0,0,0,2008
"677","Commerce Bancorp","Canada","Toronto-Dominion Bank",35000,25000,10000,2008
"678","Cooper Industries","Ireland","Cooper Industries Ltd",156700,77000,79700,2008
"679","Covidien US","UK","Covidien Ltd",111500,45000,66500,2008
"680","Credit Suisse Securities","Switzerland","Credit Suisse Group",517000,274500,242500,2008
"681","CSL Behring","Australia","CSL Ltd",16750,5500,11250,2008
"682","Daiichi Sankyo Inc","Japan","Daiichi Sanyko",33900,14600,19300,2008
"683","Deutsche Bank Securities","Germany","Deutsche Bank AG",7400,7400,0,2008
"684","DHL (Deutsche Post AG)","Germany","Deutsche Post AG",15000,7000,8000,2008
"685","Diageo North America (Diageo PLC)","UK","Diageo PLC",103500,69500,34000,2008
"686","DRS Technologies","Italy","Finmeccanica SpA",304900,123500,181400,2008
"687","E ON US","Germany","Eon AG",21000,6000,15000,2008
"688","EADS North America","Netherlands","European Aeronautic Defence & Space Co",149700,66600,83100,2008
"689","Eisai Inc","Japan","Eisai Co Ltd",8500,2500,6000,2008
"690","Elbit Systems of America","Israel","Elbit Systems Ltd",7500,4000,3500,2008
"691","EmCare Inc (Onex Corp)","Canada","Onex Corp",0,0,0,2008
"692","EMD Serono Inc","Germany","Merck KGaA",62500,35000,27500,2008
"693","EnCana Oil & Gas USA","Canada","EnCana Corp",0,0,0,2008
"694","Essroc Corp","Italy","Italcementi Group",9500,4500,5000,2008
"695","Experian","UK","Experian",384781,139000,245781,2008
"696","Farmers Group (Zurich Financial Services)","Switzerland","Zurich Financial Services",161400,45000,116400,2008
"697","First Hawaiian Bank (BNP Paribas)","France","BNP Paribas",1000,1000,0,2008
"698","Food Lion","Belgium","Delhaize Group",54250,24000,30250,2008
"699","Foster Wheeler","Switzerland","Foster Wheeler PLC",2500,0,2500,2008
"700","Fresenius Medical Care North America","Germany","Fresenius Medical Care",92400,68700,23700,2008
"701","Gateway Inc","Taiwan","Acer Inc",0,0,0,2008
"702","GDF Suez Energy North America","France","GDF SUEZ",75000,36500,38500,2008
"703","Genentech Inc (Roche Holdings)","Switzerland","Roche Holdings",262500,186000,76500,2008
"704","GKN Corp","UK","GKN PLC",3000,500,2500,2008
"705","Glanbia Foods (Glanbia PLC)","Ireland","Glanbia PLC",250,0,250,2008
"706","GlaxoSmithKline","UK","GlaxoSmithKline",811420,328870,482550,2008
"707","Grand Trunk Western-Illinois Central RR","Canada","Canadian National Railway",29050,18700,10350,2008
"708","Great-West Life & Annuity Insurance (Power Financial Corp)","Canada","Power Financial Corp",21500,13500,8000,2008
"709","Greyhound Lines","UK","FirstGroup PLC",26000,16500,9500,2008
"710","Hanson Building Products North America","Germany","Spohn Cement Gmbh",5787,3787,2000,2008
"711","Heineken USA","Netherlands","L'Arche Green NV",56500,40500,16000,2008
"712","Henkel Corp (Henkel KGaA)","Germany","Henkel KGaA",14000,11000,3000,2008
"713","Herbalife International","UK","Herbalife Ltd",45413,27414,17999,2008
"714","Hill & Knowlton (WPP Group)","UK","WPP Group",5000,3000,2000,2008
"715","Hoffmann-La Roche (Roche Holdings)","Switzerland","Roche Holdings",309500,168500,141000,2008
"716","Holcim US","Switzerland","Holcim Ltd",121500,87000,34500,2008
"717","Horizon Wind Energy","Portugal","EDP Renovaveis",0,0,0,2008
"718","HSBC North America","UK","HSBC Holdings",524250,257000,267250,2008
"719","Iberdrola Renewables (Iberdrola SA)","Spain","Iberdrola SA",22000,18000,4000,2008
"720","Iberdrola USA (Iberdrola SA)","Spain","Iberdrola SA",30500,20500,10000,2008
"721","Indra Systems","Spain","Indra Systems SA",0,0,0,2008
"722","Infineon Technologies","Germany","Infineon Technologies AG",3000,3000,0,2008
"723","ING US (ING Group)","Netherlands","ING Group",108000,71500,36500,2008
"724","Intelsat Holdings (Serafina SA)","Luxembourg","Serafina SA",30500,18500,12000,2008
"725","International Power America","UK","International Power",0,0,0,2008
"726","International Securities Exchange","Germany","Deutsche Boerse",35600,19100,16500,2008
"727","Jackson National Life Insurance","UK","Prudential PLC",71000,19750,51250,2008
"728","JBS USA","Brazil","JBS SA",78500,25000,53500,2008
"729","John Hancock Financial Services","Canada","Manulife Financial",103000,68000,35000,2008
"730","LaFarge North America","France","Lafarge SA",61500,25000,36500,2008
"731","Learjet Inc (Bombardier Inc)","Canada","Bombardier Inc",4000,0,4000,2008
"732","Lehigh Cement","Germany","HeidelbergCement AG",57567,32000,25567,2008
"733","Lone Star Industries","Italy","Buzzi Unicem",0,0,0,2008
"734","LyondellBasell Industries","Netherlands","LyondellBasell Industries",104750,45500,59250,2008
"735","Maersk Inc (AP Moller-Maersk)","Denmark","AP Moller-Maersk",171500,84500,87000,2008
"736","Massachusetts Financial Services (Sun Life Financial)","Canada","Sun Life Financial Services",39000,23000,16000,2008
"737","McDermott International (McDermott International)","Panama","McDermott International",25000,4500,20500,2008
"738","Medimmune Inc (AstraZeneca PLC)","UK","AstraZeneca PLC",92600,59100,33500,2008
"739","Metallurg Vanadium Corp","Netherlands","AMG Advanced Metallurgical Group",250,250,0,2008
"740","Metro-Goldwyn-Mayer (Sony Corp)","Japan","Sony Corp",0,0,0,2008
"741","Millennium Pharmaceuticals","Japan","Takeda Pharmaceutical Co",10000,7500,2500,2008
"742","Miller Brewing (SABMiller)","UK","SABMiller PLC",194000,99500,94500,2008
"743","MillerCoors LLC (SABMiller)","UK","SABMiller PLC",0,0,0,2008
"744","National Grid USA (National Grid plc)","UK","National Grid plc",51800,36300,15500,2008
"745","National Grid USA (National Grid plc)","UK","National Grid plc",67600,52150,15450,2008
"746","Nestle Purina PetCare (Nestle SA)","Switzerland","Nestle SA",22750,5250,17500,2008
"747","Nestle USA (Nestle SA)","Switzerland","Nestle",15900,8900,7000,2008
"748","Nestle Waters North America (Nestle SA)","Switzerland","Nestle",15500,4000,11500,2008
"749","Novartis Corp (Novartis AG)","Switzerland","Novartis AG",359050,139050,220000,2008
"750","Novartis Vaccines & Diagnostics (Novartis AG)","Switzerland","Novartis AG",0,0,0,2008
"751","Novo Nordisk","Denmark","Novo Nordisk A/S",96044,56544,39500,2008
"752","Oldcastle Materials","Ireland","CRH PLC",403100,205100,198000,2008
"753","Peter Pan Seafoods","Japan","Maruha Nichiro Holdings",8500,3000,5500,2008
"754","Pharmavite LLC","Japan","Otsuka Pharmaceutical",42168,23668,18500,2008
"755","Philips Electronics North America (Philips Electronics)","Netherlands","Philips Electronics",114046,39296,74750,2008
"756","Philips Medical Systems (Philips Electronics)","Netherlands","Philips Electronics",-2000,-1000,-1000,2008
"757","PotashCorp","Canada","Potash Corporation of Saskatchewan",25000,5000,20000,2008
"758","Putnam Investments (Power Financial Corp)","Canada","Power Financial Corp",17000,11000,6000,2008
"759","QBE Regional Insurance","Australia","QBE Insurance Group",0,0,0,2008
"760","Qimonda North America","Germany","Qimonda AG",7500,5500,2000,2008
"761","QinetiQ North America (Qinetiq Group)","UK","QinetiQ Group",33800,19200,14600,2008
"762","RBC Centura Banks (Royal Bank of Canada)","Canada","Royal Bank of Canada",0,0,0,2008
"763","Reebok International","Germany","adidas AG",500,500,0,2008
"764","Reed Elsevier Inc","UK","Reed Elsevier Group",121300,74800,46500,2008
"765","Renewable Energy Systems Americas","UK","Renewable Energy Systems",3000,3000,0,2008
"766","Research In Motion","Canada","Research in Motion",19500,11000,8500,2008
"767","Rio Tinto America","UK","Rio Tinto Group",43000,19000,24000,2008
"768","Rolls-Royce North America (Rolls-Royce PLC)","UK","Rolls-Royce PLC",186500,72500,114000,2008
"769","Sanofi-Aventis US (Sanofi-Aventis)","France","Sanofi-Aventis",105500,59500,46000,2008
"770","Sanofi-Pasteur Inc (Sanofi-Aventis)","France","Sanofi-Aventis",52000,28000,24000,2008
"771","Santander Bank (Banco Santander)","Spain","Banco Santander",10525,6525,4000,2008
"772","SAP America","Germany","SAP AG",150500,80500,70000,2008
"773","Schaeffler Group USA","Germany","Schaeffler Group",5800,3500,2300,2008
"774","Securitas Security Services USA","Sweden","Securitas AB",15500,6000,9500,2008
"775","SES Americom (SES SA)","Luxembourg","SES SA",16500,9500,7000,2008
"776","Shell Oil","Netherlands","Royal Dutch Shell",75000,25000,50000,2008
"777","Shire Pharmaceuticals","UK","Shire Plc",1250,250,1000,2008
"778","SI International","UK","Serco Group",171750,81500,90250,2008
"779","Siemens Corp (Siemens AG)","Germany","Siemens AG",303000,177500,125500,2008
"780","Skilled Healthcare Group (Onex Corp)","Canada","Onex Corp",2300,2300,0,2008
"781","Smith & Nephew","UK","Smith & Nephew Plc",28300,13000,15300,2008
"782","Smiths Detection","UK","Smiths Group PLC",5500,4000,1500,2008
"783","Sodexo Inc","France","Sodexo",34500,30000,4500,2008
"784","Solvay Pharmaceuticals","Belgium","Solvay SA",177500,52000,125500,2008
"785","Sony Pictures Entertainment (Sony Corp)","Japan","Sony Corp",205500,151500,54000,2008
"786","Space Systems/Loral","UK","Loral Space & Communications",0,0,0,2008
"787","Sparta Inc (Cobham Holdings)","UK","Cobham plc",57100,15000,42100,2008
"788","Spirit Aerosystems (Onex Corp)","Canada","Onex Corp",19150,3500,15650,2008
"789","SSAB Enterprises","Sweden","SSAB AB",45250,22500,22750,2008
"790","Sun Life Assurance of Canada (Sun Life Financial)","Canada","Sun Life Financial",12000,10000,2000,2008
"791","Swedish Match North America","Sweden","Swedish Match AB",58075,23227,34848,2008
"792","Syngenta Corp","Switzerland","Syngenta AG",200100,92500,107600,2008
"793","T-Mobile USA","Germany","Deutsche Telekom AG",392000,215500,176500,2008
"794","Tate & Lyle Americas (Tate & Lyle)","UK","Tate & Lyle",40500,18000,22500,2008
"795","Teck Cominco American","Canada","Teck Cominco",0,0,0,2008
"796","Teva Pharmaceuticals USA","Israel","Teva Pharmaceutical Industries",27350,15100,12250,2008
"797","Timex Group USA","Netherlands","Timex Group",0,0,0,2008
"798","Tyco International (Tyco International)","Ireland","Tyco International",190000,109500,80500,2008
"799","UBS Americas","Switzerland","UBS AG",842500,436500,406000,2008
"800","Ultra Electronics Prologic","UK","Ultra Electronics",45000,44000,1000,2008
"801","UnionBanCal Corp","Japan","Mitsubishi UFJ Financial Group",2600,2600,0,2008
"802","United Water","France","SUEZ Environnement",13150,13100,50,2008
"803","Universal Music Group (Vivendi Universal)","France","Vivendi Universal",167440,98040,69400,2008
"804","VT Halter Marine","Singapore","ST Engineering",7000,1000,6000,2008
"805","Wackenhut Corp","Denmark","Group 4 Securicor",14750,5000,9750,2008
"806","Weatherford US","UK","Weatherford International",1000,1000,0,2008
"807","Westfield Corp","Australia","Westfield Group of Australia",22158,19658,2500,2008
"808","Westinghouse Electric","Japan","Toshiba Corp",27100,10000,17100,2008
"809","Wexler & Walker Public Policy Assoc (WPP Group)","UK","WPP Group",101579,59579,42000,2008
"810","Willis North America","UK","Willis Group Holdings",18000,15000,3000,2008
"811","XL America","UK","XL Capital",10900,8600,2300,2008
"812","Zurich Insurance (Zurich Financial Services)","Switzerland","Zurich Financial Services",200211,93211,107000,2008
"813","7-Eleven","Japan","Seven & I Holdings",0,0,0,2010
"814","ABB Group","Switzerland","Asea Brown Boveri",17000,7500,9000,2010
"815","Accenture (Accenture)","Ireland","Accenture plc",337400,193000,143400,2010
"816","Accenture (Accenture)","Ireland","Accenture plc",0,0,0,2010
"817","ACE INA","Switzerland","ACE Ltd",240500,129500,111000,2010
"818","AEGON USA","Netherlands","Aegon NV",186000,106500,79500,2010
"819","Agrium US","Canada","Agrium Inc",2400,0,0,2010
"820","Air Liquide America","France","L'Air Liquide SA",24950,18200,4250,2010
"821","Alcatel-Lucent Holding (Alcatel-Lucent)","France","Alcatel-Lucent",0,0,0,2010
"822","Alcatel-Lucent USA (Alcatel-Lucent)","France","Alcatel-Lucent",21000,15500,5500,2010
"823","Alcon Laboratories (Novartis AG)","Switzerland","Novartis",29455,8455,21000,2010
"824","Allianz of America (Allianz)","Germany","Allianz AG Holding",84850,37850,47000,2010
"825","American Medical Response (Onex Corp)","Canada","Onex Corp",44200,38200,6000,2010
"826","Anheuser-Busch","Belgium","Anheuser-Busch InBev",854500,454000,399500,2010
"827","APL Ltd","Singapore","Neptune Orient Lines Ltd",62500,35000,25000,2010
"828","Arcadis US","Netherlands","Arcadis NV",237750,136250,97500,2010
"829","ArcelorMittal USA","Luxembourg","ArcelorMittal",60500,42500,18000,2010
"830","Arch Capital Group (US)","UK","Arch Capital Group",12800,9300,3500,2010
"831","AREVA Inc","France","Areva Group",99900,62400,34500,2010
"832","Arkema Inc","France","Arkema",14500,8500,6000,2010
"833","Astellas US","Japan","Astellas Pharma",93500,56000,37500,2010
"834","AstraZeneca Pharmaceuticals (AstraZeneca PLC)","UK","AstraZeneca PLC",703500,368000,328500,2010
"835","Atlantic Marine (BAE Systems)","UK","BAE Systems",20500,10000,10500,2010
"836","Aviva USA","UK","Aviva PLC",0,0,0,2010
"837","AXA Equitable Life Insurance (AXA)","France","AXA",285500,171500,114000,2010
"838","AXIS Specialty US Services (AXIS Capital)","UK","AXIS Captial",3000,3000,0,2010
"839","Bacardi USA","UK","Bacardi Ltd",20025,11025,8000,2010
"840","BAE Systems (BAE Systems)","UK","BAE Systems",745000,418500,326000,2010
"841","Ballard Power Systems","Canada","Ballard Power Systems",0,0,0,2010
"842","BancWest Corp (BNP Paribas)","France","BNP Paribas",0,0,0,2010
"843","Barclays Group US (Barclays)","UK","Barclays plc",104000,46500,57500,2010
"844","Barrick Goldstrike Mines","Canada","Barrick Gold Corp",152500,33000,104500,2010
"845","BASF Corp (BASF SE)","Germany","BASF SE",350500,102000,246500,2010
"846","Bayer Corp","Germany","Bayer AG",419000,184000,231000,2010
"847","BBVA Compass","Spain","Banco Bilbao Vizcaya Argentaria",164000,42000,122000,2010
"848","BMO Harris Bank","Canada","Bank of Montreal",2050,2050,0,2010
"849","Boehringer Ingelheim Corp","Germany","CH Boehringer Sohn",236000,132500,101500,2010
"850","Bombardier Transportation USA (Bombardier Inc)","Canada","Bombardier Inc",20000,19000,1000,2010
"851","BP North America","UK","BP PLC",71500,31500,35000,2010
"852","Bridgestone Americas","Japan","Bridgestone Corp",104000,65500,38500,2010
"853","Bumble Bee Foods","UK","Lion Capital",17250,12750,4500,2010
"854","Burson-Marsteller (WPP Group)","UK","WPP Group",82250,50750,31500,2010
"855","Buzzi Unicem USA","Italy","Buzzi Unicem SpA",7050,1000,6050,2010
"856","CalPortland Co","Japan","Taiheiyo Cement Co",130500,22000,106000,2010
"857","Carmeuse Lime","Netherlands","LVI Holding",9500,8000,1500,2010
"858","Case New Holland","Italy","Fiat SPA",82000,5000,77000,2010
"859","CEMEX Inc","Mexico","CEMEX SAB de CV",260800,33400,225000,2010
"860","CGI Technologies & Solutions (CGI Group)","Canada","CGI Group",62854,34000,28854,2010
"861","Ciba Inc (BASF SE)","Germany","BASF SE",15725,7725,8000,2010
"862","Citizens Financial Group","UK","Royal Bank of Scotland Group",111150,89150,22000,2010
"863","Cobham Holdings (Cobham Holdings)","UK","Cobham plc",15000,4000,11000,2010
"864","Cobham Management Services (Cobham PLC)","UK","Cobham PLC",137125,70400,64225,2010
"865","Commonwealth Brands","UK","Imperial Tobacco Group",68300,27300,41000,2010
"866","Converteam Inc (Barclays)","UK","Barclays",1800,1800,0,2010
"867","Cooper Industries","Ireland","Cooper Industries Ltd",63000,26000,37000,2010
"868","Covidien US","UK","Covidien Ltd",182500,104000,78500,2010
"869","Credit Suisse Securities","Switzerland","Credit Suisse Group",487000,246500,240500,2010
"870","CSL Behring","Australia","CSL Ltd",34250,17250,17000,2010
"871","Daiichi Sankyo Inc","Japan","Daiichi Sanyko",191500,65500,124000,2010
"872","Deutsche Bank Securities","Germany","Deutsche Bank AG",85400,48400,37000,2010
"873","DHL (Deutsche Post AG)","Germany","Deutsche Post AG",3000,3000,0,2010
"874","Diageo North America (Diageo PLC)","UK","Diageo PLC",131752,87919,43833,2010
"875","Diageo North America/CT (Diageo PLC)","UK","Diageo PLC",0,0,0,2010
"876","DRS Technologies","Italy","Finmeccanica SpA",416300,186000,229300,2010
"877","EADS North America","Netherlands","European Aeronautic Defence & Space Co",207200,104500,102700,2010
"878","Eisai Inc","Japan","Eisai Co Ltd",68000,48500,19500,2010
"879","Elbit Systems of America","Israel","Elbit Systems Ltd",22500,11500,11000,2010
"880","Embraer Aircraft Holdings","Brazil","Embraer-Empresa Brasileira de Aeronautic",7000,2500,3500,2010
"881","EmCare Inc (Onex Corp)","Canada","Onex Corp",0,0,0,2010
"882","EMD Serono Inc","Germany","Merck KGaA",123000,83000,40000,2010
"883","EnCana Oil & Gas USA","Canada","EnCana Corp",0,0,0,2010
"884","Essroc Corp","Italy","Italcementi Group",8500,2500,6000,2010
"885","Experian","UK","Experian",477727,145000,332727,2010
"886","Farmers Group (Zurich Financial Services)","Switzerland","Zurich Financial Services",176944,34650,141794,2010
"887","First Hawaiian Bank (BNP Paribas)","France","BNP Paribas",11300,9800,1500,2010
"888","FirstGroup America (FirstGroup PLC)","UK","FirstGroup PLC",0,0,0,2010
"889","Food Lion","Belgium","Delhaize Group",14000,4500,9500,2010
"890","Foster Wheeler","Switzerland","Foster Wheeler PLC",0,0,0,2010
"891","Fresenius Medical Care North America","Germany","Fresenius Medical Care",125102,97500,27602,2010
"892","G4S Secure Solutions","UK","G4S plc",61500,24000,32500,2010
"893","GDF Suez Energy North America","France","GDF SUEZ",72750,41000,26750,2010
"894","Genentech Inc (Roche Holdings)","Switzerland","Roche Holdings",290500,128500,160000,2010
"895","General Cigar Co","Sweden","Scandinavian Tobacco Group",0,0,0,2010
"896","GKN Corp","UK","GKN PLC",1000,1000,0,2010
"897","Glanbia Foods (Glanbia PLC)","Ireland","Glanbia PLC",2900,500,2400,2010
"898","GlaxoSmithKline","UK","GlaxoSmithKline",619500,316000,297500,2010
"899","Grand Trunk Western-Illinois Central RR","Canada","Canadian National Railway",44250,26000,18250,2010
"900","Great-West Life & Annuity Insurance (Power Financial Corp)","Canada","Power Financial Corp",12000,6000,6000,2010
"901","Greyhound Lines (FirstGroup PLC)","UK","FirstGroup PLC",16000,10500,5500,2010
"902","Gtech Corp","Italy","B&D Holding Di Marco Drago e C Sapa",3500,3500,0,2010
"903","Halcrow Inc","UK","Halcrow Holdings",1000,1000,0,2010
"904","Heineken USA","Netherlands","L'Arche Green NV",53500,34000,19500,2010
"905","Henkel Corp (Henkel KGaA)","Germany","Henkel KGaA",11000,7000,4000,2010
"906","Herbalife International","UK","Herbalife Ltd",63080,35000,28080,2010
"907","Hill & Knowlton (WPP Group)","UK","WPP Group",1250,1000,250,2010
"908","Hoffmann-La Roche (Roche Holdings)","Switzerland","Roche Holdings",172000,98500,71000,2010
"909","Holcim US","Switzerland","Holcim Ltd",33500,25000,8500,2010
"910","Horizon Wind Energy","Portugal","EDP Renovaveis",2250,1250,1000,2010
"911","HSBC North America (HSBC Holdings)","UK","HSBC Holdings",339000,156500,182500,2010
"912","HSBC North America/Florida (HSBC Holdings)","UK","HSBC Holdings",0,0,0,2010
"913","Iberdrola Renewables (Iberdrola SA)","Spain","Iberdrola SA",30000,26500,2500,2010
"914","Iberdrola USA (Iberdrola SA)","Spain","Iberdrola SA",11250,11250,0,2010
"915","Infineon Technologies","Germany","Infineon Technologies AG",1000,1000,0,2010
"916","ING US (ING Group)","Netherlands","ING Group",110500,68000,42500,2010
"917","Intelsat Holdings (Serafina SA)","Luxembourg","Serafina SA",66900,48900,18000,2010
"918","Intergraph Corp","Sweden","Hexagon AB",19000,7000,12000,2010
"919","International Power America","UK","International Power",19000,11500,4000,2010
"920","International Securities Exchange","Germany","Deutsche Boerse",49500,31500,18000,2010
"921","Jackson National Life Insurance","UK","Prudential PLC",122774,40000,82774,2010
"922","JBS USA","Brazil","JBS SA",162050,58000,104050,2010
"923","John Hancock Life Insurance","Canada","Manulife Financial",143900,96500,47400,2010
"924","Kurtzman Carson Consultants","Australia","Computershare Limited",0,0,0,2010
"925","LaFarge North America","France","Lafarge SA",91000,37500,53500,2010
"926","Learjet Inc (Bombardier Inc)","Canada","Bombardier Inc",5580,1000,4580,2010
"927","Linde North America","Germany","Linde AG",10000,8000,2000,2010
"928","Louis Dreyfus Group (Louis Dreyfus SAS)","Netherlands","Louis Dreyfus SAS",37500,12000,25500,2010
"929","Lundbeck Inc","Denmark","H Lundbeck A/S",0,0,0,2010
"930","LyondellBasell Industries","Netherlands","LyondellBasell Industries",65750,27000,34250,2010
"931","Maersk Inc (AP Moller-Maersk)","Denmark","AP Moller-Maersk",136750,81000,54750,2010
"932","Magna Holdings of America","Canada","Magna International",2250,2250,0,2010
"933","Marinette Marine","Italy","Fincantieri-Cantieri Navali Italiani SpA",12700,7200,5500,2010
"934","Massachusetts Financial Services (Sun Life Financial)","Canada","Sun Life Financial Services",40000,23000,17000,2010
"935","MBDA Inc","UK","MBDA",0,0,0,2010
"936","McDermott International (McDermott International)","Panama","McDermott International",35500,3500,31000,2010
"937","Medimmune Inc (AstraZeneca PLC)","UK","AstraZeneca PLC",104500,60500,41000,2010
"938","Metallurg Vanadium Corp","Netherlands","AMG Advanced Metallurgical Group",0,0,0,2010
"939","Metro-Goldwyn-Mayer (Sony Corp)","Japan","Sony Corp",-2500,0,-2500,2010
"940","Millennium Pharmaceuticals (Takeda Pharmaceutical Co)","Japan","Takeda Pharmaceutical Co",28000,22000,6000,2010
"941","Miller Brewing (SABMiller)","UK","SABMiller PLC",0,0,0,2010
"942","MillerCoors LLC (SABMiller)","UK","SABMiller PLC",205500,97500,107000,2010
"943","National Grid USA (National Grid plc)","UK","National Grid plc",141350,121100,18250,2010
"944","National Grid USA (National Grid plc)","UK","National Grid plc",500,500,0,2010
"945","Nestle Purina PetCare (Nestle SA)","Switzerland","Nestle SA",25500,4500,21000,2010
"946","Nestle Waters North America (Nestle SA)","Switzerland","Nestle",19500,10500,8000,2010
"947","Nomura Holding America","Japan","Nomura Holdings",0,0,0,2010
"948","Novartis Corp (Novartis AG)","Switzerland","Novartis AG",339750,163250,174000,2010
"949","Novo Nordisk","Denmark","Novo Nordisk A/S",170818,102318,67500,2010
"950","Oldcastle Materials","Ireland","CRH PLC",301000,165500,134500,2010
"951","Parsons Brinckerhoff","UK","Balfour Beatty",162618,127718,34900,2010
"952","PBS&J Inc","UK","WS Atkins PLC",11750,9100,250,2010
"953","Pernod Ricard USA","France","Pernod Ricard SA",21500,12000,9500,2010
"954","Peter Pan Seafoods","Japan","Maruha Nichiro Holdings",3350,1500,250,2010
"955","Pharmavite LLC","Japan","Otsuka Pharmaceutical",47000,23000,22000,2010
"956","Philips Electronics North America (Philips Electronics)","Netherlands","Philips Electronics",118200,38250,76200,2010
"957","Philips Medical Systems (Philips Electronics)","Netherlands","Philips Electronics",0,0,0,2010
"958","PotashCorp","Canada","Potash Corporation of Saskatchewan",54000,15500,38500,2010
"959","Putnam Investments (Power Financial Corp)","Canada","Power Financial Corp",17266,11766,5500,2010
"960","QBE Regional Insurance","Australia","QBE Insurance Group",0,0,0,2010
"961","QinetiQ North America (Qinetiq Group)","UK","QinetiQ Group",22000,10500,11500,2010
"962","RBC Centura Banks (Royal Bank of Canada)","Canada","Royal Bank of Canada",1250,1000,250,2010
"963","Reebok International","Germany","adidas AG",4500,4500,0,2010
"964","Reed Elsevier Inc","UK","Reed Elsevier Group",97300,60500,36800,2010
"965","Renewable Energy Systems Americas","UK","Renewable Energy Systems",27750,22500,3250,2010
"966","Renre North America Inc","UK","RenaissanceRe Holdings",0,0,0,2010
"967","Research In Motion","Canada","Research in Motion",16000,8000,8000,2010
"968","Rio Tinto America","UK","Rio Tinto Group",71000,36500,30500,2010
